County,nutrient_2021,poverty_rate,nutrient_pct,poverty_pct,risk_score
Benton,4.05,0.08297914597815292,0.7142857142857143,0.30612244897959184,0.5102040816326531
Black Hawk,4.05,0.15698955410781937,0.7142857142857143,0.9591836734693877,0.8367346938775511
Boone,0.7000000000000001,0.07474207107374857,0.22448979591836735,0.1836734693877551,0.20408163265306123
Bremer,6.85,0.06564709891795177,0.8979591836734694,0.08163265306122448,0.4897959183673469
Buchanan,1.815,0.08629292632814793,0.4489795918367347,0.3469387755102041,0.3979591836734694
Buena Vista,2.92,0.07075999593041,0.6326530612244898,0.16326530612244897,0.3979591836734694
Butler,0.15000000000000002,0.11825138160691512,0,0.673469387755102,0.336734693877551
Cedar,1,0.07832523199292973,0.2857142857142857,0.2857142857142857,0.2857142857142857
Cherokee,0.5366666666666666,0.13343965975544922,0.16326530612244897,0.8571428571428571,0.5102040816326531
Clayton,0.15000000000000002,0.13023090164420964,0,0.8367346938775511,0.41836734693877553
Clinton,5.6499999999999995,0.12408566721581549,0.8367346938775511,0.7755102040816326,0.8061224489795918
Carroll,1.985,0.0779890903729913,0.4897959183673469,0.2653061224489796,0.37755102040816324
Cass,2.5094117647058827,0.15344532586716442,0.5510204081632653,0.9387755102040817,0.7448979591836735
Delaware,9.75,0.06642832429938876,0.9387755102040817,0.10204081632653061,0.5204081632653061
Dubuque,1.36,0.09951810517695724,0.3877551020408163,0.4897959183673469,0.4387755102040816
Dallas,1.6133333333333333,0.05667371289459711,0.42857142857142855,0.02040816326530612,0.22448979591836735
Emmet,0.89,0.12696941612604262,0.2653061224489796,0.8163265306122449,0.5408163265306123
Fayette,4.85,0.11829552681789272,0.7755102040816326,0.6938775510204082,0.7346938775510203
Floyd,0.6799999999999999,0.10868576625738972,0.20408163265306123,0.5918367346938775,0.3979591836734694
Fremont,0.31,0.07536991368680641,0.10204081632653061,0.20408163265306123,0.15306122448979592
Guthrie,3.72,0.101230798587921,0.6938775510204082,0.5102040816326531,0.6020408163265306
Hardin,2.3499999999999996,0.08409880834160874,0.5306122448979592,0.32653061224489793,0.4285714285714286
Harrison,6.178000000000001,0.07610816838583774,0.8571428571428571,0.22448979591836735,0.5408163265306122
Ida,8.237777777777778,0.115237815619495,0.9183673469387755,0.6530612244897959,0.7857142857142857
Jasper,14.05,0.08818395899709101,1,0.40816326530612246,0.7040816326530612
Jones,5.199999999999999,0.11405358152928473,0.8163265306122449,0.6326530612244898,0.7244897959183674
Kossuth,0.7599999999999999,0.10474609104746091,0.24489795918367346,0.5510204081632653,0.3979591836734694
Linn,1.335,0.09480934567757948,0.3673469387755102,0.46938775510204084,0.41836734693877553
Lyon,2.778,0.03877344145970603,0.6122448979591837,0,0.30612244897959184
Mills,0.35,0.06905636830063093,0.12244897959183673,0.14285714285714285,0.13265306122448978
Mitchell,0.22,0.06704999512718059,0.061224489795918366,0.12244897959183673,0.09183673469387754
Monona,13.05,0.12269938650306748,0.9795918367346939,0.7551020408163265,0.8673469387755102
Montgomery,1.825,0.14488298294327648,0.46938775510204084,0.8979591836734694,0.6836734693877551
Osceola,1.4200000000000002,0.12639281556627308,0.40816326530612246,0.7959183673469388,0.6020408163265306
Palo Alto,1.3233333333333333,0.10694623404006091,0.3469387755102041,0.5714285714285714,0.4591836734693877
Plymouth,2.6950000000000003,0.05671429136818776,0.5918367346938775,0.04081632653061224,0.3163265306122449
Pocahontas,2.52,0.09064581523313062,0.5714285714285714,0.4489795918367347,0.5102040816326531
Polk,0.56,0.10334607478101497,0.1836734693877551,0.5306122448979592,0.35714285714285715
Pottawattamie,1.0539999999999998,0.11329021489672439,0.30612244897959184,0.6122448979591837,0.45918367346938777
Sac,6.365,0.08679757677041988,0.8775510204081632,0.3673469387755102,0.6224489795918368
Scott,0.25,0.1189692499955996,0.08163265306122448,0.7142857142857143,0.3979591836734694
Shelby,0.16999999999999998,0.08785956374380811,0.04081632653061224,0.3877551020408163,0.21428571428571427
Sioux,4.918571428571428,0.06078039765105673,0.7959183673469388,0.061224489795918366,0.42857142857142855
Story,2,0.19625389254830233,0.5102040816326531,1,0.7551020408163265
Tama,3.3499999999999996,0.1515864398600555,0.6530612244897959,0.9183673469387755,0.7857142857142857
Wapello,3.3499999999999996,0.17443753270158713,0.6530612244897959,0.9795918367346939,0.8163265306122449
Webster,0.49,0.12151995081823239,0.14285714285714285,0.7346938775510204,0.4387755102040817
Winnebago,1.2200000000000002,0.07752786624203821,0.32653061224489793,0.24489795918367346,0.2857142857142857
Winneshiek,4.05,0.08934151785714285,0.7142857142857143,0.42857142857142855,0.5714285714285714
Woodbury,10.284545454545457,0.13505805861340653,0.9591836734693877,0.8775510204081632,0.9183673469387754
